"","IaStar","EaStar"
"1703",1.13837767158565e-05,7.68771748763643e-06
"1704",2.63122042723378e-06,2.35622419464998e-06
"1705",1.62680412469505e-05,1.17546993530129e-05
"1706",7.43218010481022e-06,5.55354864341892e-06
"1707",8.16972311918219e-06,6.33348143405897e-06
"1708",9.02543259632701e-06,6.903644462522e-06
"1709",5.44095355439852e-06,3.83654538402535e-06
"1710",8.12641079181536e-06,5.73267754910762e-06
"1711",4.01956704522287e-06,3.39639402389482e-06
"1712",6.81518977892904e-06,5.03203000417959e-06
"1713",2.38409341701182e-06,1.93776633903624e-06
"1714",3.73154011918214e-06,3.22385514331766e-06
"1715",6.50597831913015e-06,4.78388512345994e-06
"1716",1.13858125871417e-05,8.40753918853498e-06
"1717",9.92816815229998e-06,6.82320211676507e-06
"1718",2.33506134554777e-06,2.04581003425555e-06
"1719",1.05876421686518e-05,7.79559955884194e-06
"1720",8.1675799389743e-06,6.1501981923584e-06
"1721",9.19622182802989e-06,6.54030355898032e-06
"1722",5.60824964549187e-06,4.53236661099068e-06
"1723",2.77810745839846e-06,2.38349989745497e-06
"1724",7.42949482045887e-06,5.80751074829447e-06
"1725",6.91639733291142e-06,5.20099073932484e-06
"1726",1.28752361005125e-05,9.00389803021902e-06
"1727",2.95073070076518e-06,2.51002730153342e-06
"1728",3.72603286846589e-06,3.00121389827175e-06
"1729",6.16225248254886e-06,4.73667345561953e-06
"1730",5.10846762447598e-06,4.25943969508664e-06
"1731",3.18613869151253e-06,2.67398156212745e-06
"1732",1.50901872569462e-05,1.13055977273355e-05
"1733",8.43861531001468e-06,6.04814708861866e-06
"1734",5.20492993969749e-06,4.26909027629571e-06
"1735",4.30754451676941e-06,3.47000009165603e-06
"1736",1.18195839690491e-05,8.83458111891634e-06
"1737",1.04190112713119e-06,1.00694605256253e-06
"1738",1.39985691417926e-05,9.34576778820552e-06
"1739",4.7973710928207e-06,3.69505952981227e-06
"1740",2.94904389202099e-06,2.4478544997487e-06
"1741",6.55838941092912e-06,5.57557205032886e-06
"1742",4.69424295989972e-06,3.85349552450103e-06
"1743",3.93855832205187e-06,3.06339226009467e-06
"1744",2.80407916759358e-06,2.27321293027518e-06
"1745",3.33639104877304e-06,2.66389827620225e-06
"1746",3.2780362257933e-06,2.52181403138126e-06
"1747",4.64888087392855e-06,3.39896500031472e-06
"1748",4.6013346204353e-06,3.83974292422991e-06
"1749",8.80743920404069e-06,6.64270383511895e-06
"1750",9.20727010740443e-06,6.96819178306584e-06
"1751",5.64200924381348e-06,4.41747924323179e-06
"1752",5.55705761900068e-06,4.28541543310638e-06
"1753",1.68417118348512e-05,1.15851293617763e-05
"1754",8.98244064508773e-06,6.74416505795774e-06
"1755",4.26833236394888e-06,3.42019212720135e-06
"1756",4.92956608325363e-06,4.11778871811752e-06
"1757",1.01275685234682e-05,7.24029934542935e-06
"1758",8.13937789702376e-06,6.03023173137529e-06
"1759",2.48465753834045e-05,1.66785128089152e-05
"1760",4.90070158925123e-06,4.02861265969624e-06
"1761",1.24028176407369e-05,9.56081783830738e-06
"1762",4.41868949739644e-06,3.58265063716051e-06
"1763",4.96627086563375e-06,3.69843162945766e-06
"1764",2.63581791546088e-06,2.05861183457907e-06
"1765",3.6515922825654e-06,2.99783664106954e-06
"1766",4.69647951683753e-06,3.56740605374744e-06
"1767",4.47833143228863e-06,3.64497913208129e-06
"1768",3.46818619065584e-06,2.78664010269273e-06
"1769",1.37866513480103e-05,9.68296999731001e-06
"1770",5.36969459371773e-06,4.21934708595278e-06
"1771",2.2526283064639e-05,1.50877663235724e-05
"1772",8.78054155367585e-06,6.65167417796937e-06
"1773",6.6217676994374e-06,4.93443827490253e-06
"1774",6.27225557338327e-06,5.11443691850593e-06
"1775",6.46253514006725e-06,5.07291383084938e-06
"1776",1.06401492923323e-05,7.90786255594117e-06
"1777",5.02024273193158e-06,3.83131695108154e-06
"1778",4.79132492107744e-06,3.73509265397715e-06
"1779",1.03560879222456e-05,7.51267461980473e-06
"1780",6.42318855376106e-06,4.75055985876891e-06
"1781",1.06070381799649e-05,7.59506739373262e-06
"1782",1.42881011902731e-05,1.00658141754169e-05
"1783",5.50452891995302e-06,4.10870528282833e-06
"1784",4.13265600853086e-06,3.18102706238441e-06
"1785",7.79659347938395e-06,5.48262665312557e-06
"1786",3.72369923342531e-06,2.95588151638772e-06
"1787",3.83803349887325e-06,2.8406030589794e-06
"1788",3.4998863934693e-06,2.75039740884664e-06
"1789",2.74146128104578e-06,2.13151873998264e-06
"1790",7.25380294522005e-06,5.46341368216533e-06
"1791",2.46508680265523e-05,1.69848273459682e-05
"1792",1.0189175191255e-05,7.15351775312844e-06
"1793",2.41554704755645e-05,1.61337438502492e-05
"1794",5.93357602031368e-06,5.00189300989486e-06
"1795",8.62721547627692e-06,6.50308036555533e-06
"1796",2.57441056091251e-06,2.26158560826326e-06
"1797",1.3558013707166e-05,9.59327762944721e-06
"1798",4.09073140828169e-06,3.47759961433473e-06
"1799",4.20961377071782e-06,3.47925773670982e-06
"1800",8.97444336775981e-06,6.60731892084207e-06
"1801",4.83860399818721e-06,3.90317199269496e-06
"1802",5.76807479200431e-06,4.61259855497698e-06
"1803",4.55996771234012e-06,3.48228548789912e-06
"1804",2.79195515142571e-06,2.37770554116215e-06
"1805",5.27592665839797e-06,3.99650503203291e-06
"1806",1.38494960981363e-06,1.22492297167245e-06
"1807",1.04128234446555e-05,7.47575887188371e-06
"1808",2.55285568645194e-06,2.14455427804577e-06
"1809",1.30047806478867e-05,9.70734593823334e-06
"1810",4.89438638997946e-06,3.85689318274446e-06
"1811",4.96256693970472e-06,3.8072885649114e-06
"1812",7.62032459114332e-06,5.82421374283394e-06
"1813",4.85629360036552e-06,3.72198551858752e-06
"1814",3.80808975047142e-06,3.1138496633861e-06
"1815",3.3658555235673e-06,2.5988578507222e-06
"1816",3.04750799221471e-06,2.56843277099119e-06
