"","IaStar1","EaStar1"
"4141",5.09334822423114e-06,3.74600232647171e-06
"4142",1.38932767185193e-05,9.50242164080125e-06
"4143",1.4824239566446e-05,9.34771106133838e-06
"4144",4.11919256331993e-06,3.04898931219197e-06
"4145",4.48386462476487e-06,3.57689384767027e-06
"4146",7.58737097824425e-06,5.01046932706096e-06
"4147",8.35260845944589e-06,6.01185886114352e-06
"4148",1.13194957909044e-05,7.01891739416469e-06
"4149",2.46360082485477e-05,1.46801436719028e-05
"4150",9.29715022882518e-06,6.04478457282312e-06
"4151",1.23282601670592e-05,7.33362156657305e-06
"4152",5.42069935778055e-06,4.17355378506557e-06
"4153",8.78229591229967e-06,6.05377706112095e-06
"4154",1.94368971997107e-05,1.20372990829802e-05
"4155",3.82363364524876e-06,2.96774932008019e-06
"4156",7.28925588370916e-06,4.66895774399203e-06
"4157",2.06878207038596e-05,1.3696652393964e-05
"4158",1.31603038002878e-05,8.58827929336752e-06
"4159",1.52293485924988e-05,1.00703421581025e-05
"4160",7.35003274332857e-06,5.02368771268913e-06
"4161",2.70498419922386e-05,1.65258084474225e-05
"4162",7.89051412065098e-06,5.33400362159294e-06
"4163",1.1637852753647e-05,7.0276520056962e-06
"4164",2.01736908301423e-05,1.2839985183659e-05
"4165",7.62967877675694e-06,5.00911131219085e-06
"4166",2.79253373335636e-05,1.64436990036156e-05
"4167",9.56732419498569e-06,6.30741900861439e-06
"4168",8.7399685894503e-06,6.17818258571051e-06
"4169",8.12747245502544e-06,5.51472969660311e-06
"4170",2.08090685398267e-05,1.30356079496145e-05
"4171",6.48135181582129e-06,4.50545958191277e-06
"4172",9.79195261876124e-06,6.26885413728513e-06
"4173",4.84745813136523e-06,3.57882385113171e-06
"4174",9.71787541091137e-06,6.44809435763821e-06
"4175",1.20868043268118e-05,7.88623615804017e-06
"4176",4.35523309681739e-06,3.10153891967876e-06
"4177",9.17317963540289e-06,6.19873378182416e-06
"4178",1.70593640059927e-05,1.08010084241512e-05
"4179",5.61945016711991e-06,4.09616435401927e-06
"4180",2.99992938713339e-05,1.82809027874674e-05
"4181",1.98341613461328e-05,1.22976813555183e-05
"4182",1.36221515509419e-05,8.68002447558507e-06
"4183",1.22311558143037e-05,8.20378150754947e-06
"4184",9.08100367934949e-06,5.96158541573181e-06
"4185",4.40158360715474e-06,2.97957216442153e-06
"4186",1.2982858479809e-05,9.01315626528409e-06
"4187",8.87468045730595e-06,5.73004632486229e-06
"4188",2.94456306163561e-06,2.28952758855092e-06
"4189",2.79714290044282e-05,1.58963601358802e-05
"4190",2.52868152131896e-05,1.53026147049264e-05
"4191",1.02938600440815e-05,7.18883769929671e-06
"4192",9.08363618899173e-06,6.05848728064579e-06
"4193",1.00513544986061e-05,6.74911614051571e-06
"4194",1.0128882584541e-05,6.91890015252504e-06
"4195",9.88596439074192e-06,6.29384570543657e-06
